nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 19:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 19:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 19:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 19:20:00",840,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 19:20:00",920,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 19:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 19:20:00",1630,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 19:20:00",1020,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 19:20:00",1720,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 19:20:00",1620,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 19:50:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 19:50:00",210,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 19:50:00",940,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 19:50:00",6100,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 19:50:00",130,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 19:50:00",800,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 19:50:00",2730,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 19:50:00",1710,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 19:50:00",1760,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 19:50:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 19:50:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 19:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 19:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 19:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 19:50:00",850,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 19:50:00",900,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 19:50:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 19:50:00",1630,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 19:50:00",1030,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 19:50:00",1730,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 19:50:00",1610,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 20:20:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 20:20:00",210,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 20:20:00",940,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 20:20:00",6150,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 20:20:00",130,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 20:20:00",850,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 20:20:00",2750,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 20:20:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 20:20:00",1750,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 20:20:00",-2040,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 20:20:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 20:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 20:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 20:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 20:20:00",840,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 20:20:00",920,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 20:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 20:20:00",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 20:20:00",1040,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 20:20:00",1740,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 20:10:00",1610,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 20:50:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 20:50:00",210,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 20:50:00",930,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 20:50:00",6140,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 20:50:00",130,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 20:50:00",890,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 20:50:00",2770,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 20:50:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 20:50:00",1790,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 20:50:00",-2030,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 20:50:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 20:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 20:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 20:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 20:50:00",840,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 20:50:00",870,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 20:50:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 20:50:00",1630,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 20:50:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 20:50:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 20:50:00",1610,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 21:20:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 21:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 21:20:00",920,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 21:20:00",6130,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 21:20:00",120,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 21:20:00",890,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 21:20:00",2750,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 21:20:00",1680,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 21:20:00",1750,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 21:20:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 21:20:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 21:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 21:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 21:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 21:20:00",870,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 21:20:00",960,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 21:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 21:20:00",1620,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 21:20:00",1060,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 21:20:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 21:20:00",1570,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 22:20:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 22:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 22:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 22:20:00",6120,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 22:20:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 22:20:00",1010,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 22:20:00",2720,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 22:20:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 22:20:00",1770,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 22:20:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 22:20:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 22:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 22:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 22:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 22:20:00",890,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 22:20:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 22:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 22:20:00",1620,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 22:20:00",1060,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 22:20:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 22:20:00",1560,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 22:50:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 22:50:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 22:50:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 22:50:00",6120,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 22:50:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 22:50:00",1080,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 22:50:00",2710,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 22:50:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 22:50:00",1800,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 22:50:00",-2010,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 22:50:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 22:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 22:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 22:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 22:50:00",870,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 22:50:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 22:50:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 22:50:00",1610,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 22:50:00",1060,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 22:50:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 22:50:00",1540,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 23:20:00",190,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 23:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 23:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 23:20:00",6100,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 23:20:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 23:20:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 23:20:00",2750,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 23:20:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 23:20:00",1760,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 23:20:00",-2010,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 23:20:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 23:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 23:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 23:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 23:20:00",870,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 23:20:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 23:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 23:20:00",1610,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 23:20:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 23:20:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 23:10:00",1530,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 23:50:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 23:50:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 23:50:00",920,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 23:50:00",6110,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 23:50:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 23:50:00",450,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 23:50:00",2750,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 23:50:00",1700,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 23:50:00",1720,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 23:50:00",-2010,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 23:50:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 23:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 23:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 23:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 23:50:00",850,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 23:50:00",940,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 23:50:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 23:50:00",1610,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 23:50:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 23:50:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 23:50:00",1520,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 00:20:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 00:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 00:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 00:20:00",6120,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 00:20:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 00:20:00",490,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 00:20:00",2710,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 00:20:00",1720,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 00:20:00",1760,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 00:20:00",-1980,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 00:20:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 00:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 00:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 00:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 00:20:00",830,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 00:20:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 00:20:00",1720,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 00:20:00",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 00:20:00",1040,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 00:20:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 00:20:00",1510,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 00:40:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 00:50:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 00:50:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 00:50:00",6080,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 00:50:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 00:50:00",510,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 00:50:00",2690,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 00:50:00",1730,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 00:50:00",1780,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 00:50:00",-1970,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 00:50:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 00:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 00:50:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 00:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 00:50:00",820,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 00:50:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 00:50:00",1710,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 00:50:00",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 00:50:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 00:50:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 00:50:00",1510,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 01:20:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 01:20:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-02 01:20:00",910,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-02 01:20:00",6060,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-02 01:20:00",110,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-02 01:20:00",510,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-02 01:20:00",2680,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-02 01:20:00",1730,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-02 01:20:00",1810,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-02 01:20:00",-1950,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-02 01:20:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-02 01:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-02 01:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-02 01:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-02 01:20:00",850,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-02 01:20:00",900,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-02 01:20:00",1710,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-02 01:20:00",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-02 01:20:00",1060,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-02 01:20:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-02 01:20:00",1510,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-02 01:50:00",180,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-02 01:50:00",200,"Status : Normal"
