nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 03:20:00",240,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 03:20:00",1080,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 03:20:00",6130,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 03:20:00",230,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 03:20:00",520,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 03:20:00",2740,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 03:20:00",1790,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 03:20:00",1840,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 03:20:00",-1900,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 03:20:00",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 03:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 03:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 03:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 03:20:00",900,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 03:20:00",910,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 03:20:00",1690,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 03:20:00",1000,"Status : Normal"
